type,study,series,date_numeric,censored,d_x,date_yday,value
seasonal,Study 5,Study 5.a,-489,none,0,0.7397260273972602,63.246631869199796
seasonal,Study 5,Study 5.a,-482,none,1,0.7589041095890411,30.52966710020998
seasonal,Study 5,Study 5.a,-474,none,1.1428571428571428,0.7808219178082192,25.42679092670105
seasonal,Study 5,Study 5.a,-469,none,0.7142857142857143,0.7945205479452054,19.59325063961771
seasonal,Study 5,Study 5.a,-462,none,1,0.8136986301369863,17.396723097249886
seasonal,Study 5,Study 5.a,-448,none,2,0.852054794520548,16.94089515275167
seasonal,Study 5,Study 5.a,-441,none,1,0.8712328767123287,21.64913153517556
seasonal,Study 5,Study 5.a,-434,none,1,0.8904109589041096,19.721748486714414
seasonal,Study 5,Study 5.a,-420,none,2,0.9287671232876712,14.179406688604809
seasonal,Study 5,Study 5.a,-406,none,2,0.9671232876712328,18.051891523090166
seasonal,Study 5,Study 5.a,-391,none,2.142857142857143,0.00821917808219178,17.23242067675797
seasonal,Study 5,Study 5.a,-385,none,0.8571428571428571,0.02465753424657534,18.077264492961454
seasonal,Study 5,Study 5.a,-378,none,1,0.04383561643835616,13.329875091652335
seasonal,Study 5,Study 5.a,-371,none,1,0.06301369863013699,21.83463465359075
seasonal,Study 5,Study 5.a,-364,none,1,0.0821917808219178,16.917082911773424
seasonal,Study 5,Study 5.a,-356,none,1.1428571428571428,0.10410958904109588,33.761522759710886
seasonal,Study 5,Study 5.a,-350,none,0.8571428571428571,0.12054794520547946,11.876520109602454
seasonal,Study 5,Study 5.a,-343,none,1,0.13972602739726028,6.344541539728163
seasonal,Study 5,Study 5.a,-335,none,1.1428571428571428,0.16164383561643836,8.574864431506692
seasonal,Study 5,Study 5.a,-329,none,0.8571428571428571,0.1780821917808219,36.03738772279767
seasonal,Study 5,Study 5.a,-322,none,1,0.1972602739726027,7.520712587719751
seasonal,Study 5,Study 5.a,-314,none,1.1428571428571428,0.2191780821917808,8.779789746747777
seasonal,Study 5,Study 5.a,-308,none,0.8571428571428571,0.2356164383561644,7.19426621184778
seasonal,Study 5,Study 5.a,-301,none,1,0.2547945205479452,6.069927308134771
seasonal,Study 5,Study 5.a,-294,none,1,0.273972602739726,28.8992859639373
seasonal,Study 5,Study 5.a,-287,none,1,0.29315068493150687,10.507823979899129
seasonal,Study 5,Study 5.a,-280,none,1,0.31232876712328766,10.788392088074746
seasonal,Study 5,Study 5.a,-270,none,1.4285714285714286,0.33972602739726027,9.722589453821774
seasonal,Study 5,Study 5.a,-266,none,0.5714285714285714,0.3506849315068493,9.480744098352536
seasonal,Study 5,Study 5.a,-259,none,1,0.3698630136986301,5.243073353569007
seasonal,Study 5,Study 5.a,-252,none,1,0.38904109589041097,28.851127444636163
seasonal,Study 5,Study 5.a,-244,none,1.1428571428571428,0.410958904109589,14.50238693124855
seasonal,Study 5,Study 5.a,-237,none,1,0.4301369863013699,16.895085909282514
seasonal,Study 5,Study 5.a,-230,none,1,0.4493150684931506,26.634349486669965
seasonal,Study 5,Study 5.a,-224,none,0.8571428571428571,0.4657534246575342,25.662376484727403
seasonal,Study 5,Study 5.a,-217,none,1,0.4849315068493151,23.04623923552219
seasonal,Study 5,Study 5.a,-210,none,1,0.5041095890410959,14.635281826260009
seasonal,Study 5,Study 5.a,-203,none,1,0.5232876712328767,19.443241267244385
seasonal,Study 5,Study 5.a,-196,none,1,0.5424657534246575,22.864864366109792
seasonal,Study 5,Study 5.a,-189,none,1,0.5616438356164384,23.637145292278255
seasonal,Study 5,Study 5.a,-175,none,2,0.6,29.157904254971044
seasonal,Study 5,Study 5.a,-168,none,1,0.6191780821917808,20.39746810558664
seasonal,Study 5,Study 5.a,-161,none,1,0.6383561643835617,16.00265675852794
seasonal,Study 5,Study 5.a,-153,none,1.1428571428571428,0.6602739726027397,20.977966860356982
seasonal,Study 5,Study 5.a,-147,none,0.8571428571428571,0.6767123287671233,21.033570052893694
seasonal,Study 5,Study 5.a,-140,none,1,0.6958904109589041,20.278856128799283
seasonal,Study 5,Study 5.a,-133,none,1,0.7150684931506849,17.833572372511593
seasonal,Study 5,Study 5.a,-126,none,1,0.7342465753424657,10.423763016229293
seasonal,Study 5,Study 5.a,-118,none,1.1428571428571428,0.7561643835616438,12.56384751361579
seasonal,Study 5,Study 5.a,-111,none,1,0.7753424657534247,7.210835707828324
seasonal,Study 5,Study 5.a,-105,none,0.8571428571428571,0.7917808219178082,19.02113733573406
seasonal,Study 5,Study 5.a,-97,none,1.1428571428571428,0.8136986301369863,8.064423038938584
seasonal,Study 5,Study 5.a,-90,none,1,0.8328767123287671,8.028542625412825
seasonal,Study 5,Study 5.a,-84,none,0.8571428571428571,0.8493150684931506,8.066280788154359
seasonal,Study 5,Study 5.a,-77,none,1,0.8684931506849315,6.403122487848748
seasonal,Study 5,Study 5.a,-70,none,1,0.8876712328767123,3.0942281841963077
seasonal,Study 5,Study 5.a,-63,none,1,0.9068493150684932,6.141611364809567
seasonal,Study 5,Study 5.a,-56,none,1,0.926027397260274,6.425798163147579
seasonal,Study 5,Study 5.a,-42,none,2,0.9643835616438357,5.819862352754316
seasonal,Study 5,Study 5.a,-27,none,2.142857142857143,0.00547945205479452,6.106317238495941
seasonal,Study 5,Study 5.a,-20,none,1,0.02465753424657534,4.705981052393548
seasonal,Study 5,Study 5.a,-13,none,1,0.04383561643835616,3.973386059748104
seasonal,Study 5,Study 5.a,-6,none,1,0.06301369863013699,5.176296935951572
seasonal,Study 5,Study 5.a,0,none,0.8571428571428571,0.07945205479452055,4.668127555857319
seasonal,Study 5,Study 5.a,7,none,1,0.09863013698630135,5.356537535608663
seasonal,Study 5,Study 5.a,15,none,1.1428571428571428,0.12054794520547946,2.448670299751849
seasonal,Study 5,Study 5.a,21,none,0.8571428571428571,0.136986301369863,4.068795168237133
seasonal,Study 5,Study 5.a,29,left,1.1428571428571428,0.1589041095890411,0.2
seasonal,Study 5,Study 5.a,36,left,1,0.1780821917808219,0.2
seasonal,Study 5,Study 5.a,43,none,1,0.1972602739726027,0.8302404313232695
seasonal,Study 5,Study 5.a,49,none,0.8571428571428571,0.2136986301369863,1.1481067289041265
seasonal,Study 5,Study 5.a,56,none,1,0.2328767123287671,2.35699204945177
seasonal,Study 5,Study 5.a,63,none,1,0.25205479452054796,1.710644464147981
seasonal,Study 5,Study 5.a,70,none,1,0.27123287671232876,2.5642744967034488
seasonal,Study 5,Study 5.a,78,none,1.1428571428571428,0.29315068493150687,2.4918283297202706
