study,series,phase,dic_mean,dic_sd,ph_mean,ph_sd,p_ppm_mean,p_ppm_sd
Study 1,Study 1.a,2,26.4242,0.5553414175343947,7.991,0.19621133730977158,0.4629370486350152,0.06674397755154907
Study 1,Study 1.b,2,26.4242,0.5553414175343947,7.99,0.16593171286204847,0.43611254245258607,0.08868146091764027
Study 1,Study 1.c,2,26.4242,0.5553414175343947,8.052,0.13314987378472756,0.4146522441257537,0.060244273437661595
Study 10,Study 10.a,2,9.185398698785972,1.44178363107265,7.5268749999999995,0.6431559556851923,0.8222890717568772,0.1974784206639607
Study 10,Study 10.b,2,10.000422528739216,0.7281812039854461,7.82,0.8082697569499925,0.7300953186163477,0.1819345203376185
Study 10,Study 10.c,2,9.59486359021725,1.6347920779178804,7.436,0.5619271351902825,0.8540065183521598,0.211037123859742
Study 10,Study 10.d,2,10.361932689725297,1.4298750902873403,7.8875,1.0492973839670054,0.9083093960705614,0.19785734854640902
Study 10,Study 10.e,2,9.59325375177562,1.7947650032982119,8.43,1.4283556979968257,1.0567046474932207,0.02767418599828855
Study 10,Study 10.f,2,8.921241506613107,1.669773560014765,7.508571428571429,0.4270998545004267,0.8181540392407827,0.20692703667288892
Study 2,Study 2.a,2,13.991580464295005,0.8974260075879497,7.72316088516746,0.3539278339107245,0.9784302,0.09906846703577958
Study 4,Study 4.a,1,5,0.5553414175343947,7.4151612903225805,0.39909790751762425,0.18195646035837562,0.045489115089593905
Study 4,Study 4.a,2,5,0.5553414175343947,7.476,0.24037470748812162,0.3469513592602741,0.03805158643948832
Study 4,Study 4.b,1,5,0.5553414175343947,7.315666666666667,0.3541447525336586,0.17932451811111802,0.044831129527779505
Study 4,Study 4.b,2,5,0.5553414175343947,7.49,0.2639128644079331,0.34558155693944953,0.04396384129393525
Study 4,Study 4.c,1,5,0.5553414175343947,7.327741935483871,0.36890567608734665,0.20874230297603533,0.05218557574400883
Study 4,Study 4.c,2,5,0.5553414175343947,7.546,0.47584661394192984,0.37291237467399635,0.016575017521027316
Study 4,Study 4.d,1,5,0.5553414175343947,7.498387096774193,0.38030774182840876,0.19081493619658046,0.057295017694673434
Study 4,Study 4.d,2,5,0.5553414175343947,7.496,0.3413649073938326,0.35145213831441185,0.02689210140092975
Study 5,Study 5.a,2,29.57885572863773,3.4682511691199753,7.75125,0.49145374727870955,0.5125,0.023754698783308437
Study 5,Study 5.b,2,29.37075345104851,2.6878223393307,7.73,0.4364139581373891,0.51125,0.03270539492412312
Study 5,Study 5.c,2,28.614528518660407,0.8144686875233929,7.77780487804878,0.18620569533612485,0.8321951219512195,0.20804878048780487
Study 5,Study 5.d,2,28.57427378947465,0.8403779150282961,7.792195121951219,0.18472293029185557,0.8134146341463415,0.20335365853658538
Study 5,Study 5.e,2,28.493915901902213,0.5996266159923075,7.8095,0.1675915364119653,0.6205,0.155125
Study 5,Study 5.f,2,28.49921051752487,0.5644064032421553,7.80475,0.1580974626371584,0.63075,0.1576875
Study 6,Study 6.a,2,0.7476119324481967,0.23578614600619402,10.205,0.04407785320154747,0.26947599228125724,0.04515601599219782
Study 6,Study 6.b,2,0.8664088616232211,0.2151646636738746,10.16875,0.04911720676097114,0.27355278490275886,0.05533292665736325
Study 6,Study 6.c,2,0.8443304821855724,0.21676168151767214,10.17625,0.03852179346069684,0.2971981821074683,0.04503808197422752
Study 6,Study 6.d,2,0.8778341300662312,0.19768741810500165,10.16625,0.030676887530703537,0.32206661709862816,0.0517369605386394
Study 7,Study 7.a,2,7.686948265953575,0.5553414175343947,7.78,0.3031318205801919,0.9784302,0.09906846703577958
Study 7,Study 7.b,2,7.686948265953575,0.5553414175343947,7.78,0.3031318205801919,0.9784302,0.09906846703577958
Study 7,Study 7.c,2,7.686948265953575,0.5553414175343947,7.78,0.3031318205801919,0.9784302,0.09906846703577958
Study 8,Study 8.a,2,18.376829999999998,0.5553414175343947,8.005897435897436,0.07715097863458062,0.7134073747054741,0.20728131111058762
Study 8,Study 8.b,2,18.376829999999998,0.5553414175343947,8.005897435897436,0.07715097863458062,0.8425954701001293,0.12881645978473344
Study 8,Study 8.c,2,18.376829999999998,0.5553414175343947,8.005897435897436,0.07715097863458062,0.7060021323751102,0.0970666250663081
Study 9,Study 9.a,2,20.7,0.5553414175343947,7.95,0.3031318205801919,0.8479729,0.09906846703577958
